dish_name,category,primary_ingredients,ingredient_ratios,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,oil_absorption_pct,cooked_to_raw_ratio,ifct_mapping,usda_mapping,notes
adhirasam,sweet,"[""rice_flour"", ""jaggery"", ""ghee"", ""cardamom"", ""sesame""]","{""rice_flour"": 0.45, ""jaggery"": 0.35, ""ghee"": 0.15, ""cardamom"": 0.03, ""sesame"": 0.02}",420,3.5,65.0,16.0,12.0,1.0,Rice based sweet,Rice flour pancake,Deep fried; high oil absorption from ghee frying
anarsa,sweet,"[""rice_flour"", ""jaggery"", ""ghee"", ""poppy_seeds""]","{""rice_flour"": 0.5, ""jaggery"": 0.3, ""ghee"": 0.18, ""poppy_seeds"": 0.02}",450,3.0,68.0,18.0,15.0,1.0,Maharashtrian sweet,Rice cookie,Deep fried in ghee; poppy seeds on top
bandar_laddu,sweet,"[""besan"", ""sugar"", ""ghee"", ""cardamom""]","{""besan"": 0.4, ""sugar"": 0.35, ""ghee"": 0.23, ""cardamom"": 0.02}",480,8.0,58.0,24.0,8.0,1.0,Besan laddu,Chickpea flour sweet,Roasted besan + ghee; no water
basundi,sweet,"[""milk"", ""sugar"", ""saffron"", ""cardamom"", ""nuts""]","{""milk"": 0.75, ""sugar"": 0.15, ""saffron"": 0.01, ""cardamom"": 0.01, ""nuts"": 0.08}",220,6.5,28.0,9.0,0.0,0.55,Milk sweet,Sweetened condensed milk,Milk reduced to 55% original volume; no oil
cham_cham,sweet,"[""chhena"", ""sugar"", ""water"", ""saffron""]","{""chhena"": 0.45, ""sugar"": 0.35, ""water"": 0.18, ""saffron"": 0.02}",280,7.0,48.0,7.0,0.0,1.0,Bengali sweet,Chhena based sweet,Boiled in sugar syrup; chhena is fresh paneer
chhena_kheeri,sweet,"[""chhena"", ""milk"", ""sugar"", ""rice"", ""cardamom""]","{""chhena"": 0.25, ""milk"": 0.5, ""sugar"": 0.15, ""rice"": 0.08, ""cardamom"": 0.02}",210,6.8,26.0,8.5,0.0,0.6,Kheer variant,Rice pudding with chhena,Milk reduced; rice thickens
chikki,sweet,"[""peanuts"", ""jaggery"", ""ghee""]","{""peanuts"": 0.55, ""jaggery"": 0.4, ""ghee"": 0.05}",520,16.0,48.0,30.0,0.0,1.0,Peanut chikki,Peanut brittle,No oil absorption; dry sweet
dharwad_pedha,sweet,"[""milk"", ""sugar"", ""dahi"", ""cardamom""]","{""milk"": 0.7, ""sugar"": 0.22, ""dahi"": 0.06, ""cardamom"": 0.02}",380,10.0,55.0,14.0,0.0,0.35,Pedha,Milk fudge,Curdled milk reduced heavily; very dense
double_ka_meetha,sweet,"[""bread"", ""milk"", ""sugar"", ""ghee"", ""nuts"", ""saffron""]","{""bread"": 0.3, ""milk"": 0.4, ""sugar"": 0.15, ""ghee"": 0.1, ""nuts"": 0.05}",320,6.0,42.0,14.0,8.0,1.2,Bread sweet,Indian bread pudding,Bread fried in ghee then soaked in milk; absorbs ghee + milk
gajar_ka_halwa,sweet,"[""carrot"", ""milk"", ""sugar"", ""ghee"", ""mawa"", ""nuts""]","{""carrot"": 0.4, ""milk"": 0.25, ""sugar"": 0.15, ""ghee"": 0.12, ""mawa"": 0.05, ""nuts"": 0.03}",280,4.5,38.0,12.0,5.0,0.45,Carrot halwa,Carrot pudding,Carrots cooked down in milk; ghee fried
