dish_name,category,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,oil_absorption_pct,cooked_to_raw_ratio
adhirasam,sweet,420,3.5,65.0,16.0,12.0,1.0
anarsa,sweet,450,3.0,68.0,18.0,15.0,1.0
bandar_laddu,sweet,480,8.0,58.0,24.0,8.0,1.0
basundi,sweet,220,6.5,28.0,9.0,0.0,0.55
cham_cham,sweet,280,7.0,48.0,7.0,0.0,1.0
chhena_kheeri,sweet,210,6.8,26.0,8.5,0.0,0.6
chikki,sweet,520,16.0,48.0,30.0,0.0,1.0
dharwad_pedha,sweet,380,10.0,55.0,14.0,0.0,0.35
double_ka_meetha,sweet,320,6.0,42.0,14.0,8.0,1.2
gajar_ka_halwa,sweet,280,4.5,38.0,12.0,5.0,0.45
ghevar,sweet,450,5.0,55.0,22.0,20.0,1.0
gulab_jamun,sweet,380,6.0,55.0,15.0,18.0,1.0
imarti,sweet,400,5.5,58.0,16.0,20.0,1.0
jalebi,sweet,380,3.5,65.0,12.0,18.0,1.0
kalakand,sweet,280,8.5,38.0,10.0,0.0,0.3
kakinada_khaja,sweet,460,5.0,62.0,20.0,15.0,1.0
kajjikaya,sweet,420,4.5,52.0,20.0,12.0,1.0
kuzhi_paniyaram,sweet,280,4.5,48.0,8.0,5.0,1.8
ledikeni,sweet,340,8.0,42.0,16.0,12.0,1.0
lyangcha,sweet,380,4.0,52.0,16.0,15.0,1.0
malapua,sweet,320,5.0,42.0,14.0,10.0,1.0
misti_doi,sweet,180,5.5,28.0,5.5,0.0,0.5
modak,sweet,320,3.5,48.0,12.0,5.0,1.0
mysore_pak,sweet,520,7.0,50.0,32.0,0.0,1.0
phirni,sweet,180,5.0,24.0,7.0,0.0,0.55
pootharekulu,sweet,440,3.0,60.0,20.0,15.0,1.0
qubani_ka_meetha,sweet,220,2.5,42.0,6.0,0.0,0.8
rabri,sweet,250,7.5,28.0,12.0,0.0,0.25
ras_malai,sweet,240,7.0,26.0,12.0,0.0,0.7
rasgulla,sweet,220,5.5,40.0,4.0,0.0,1.0
sandesh,sweet,280,10.0,38.0,9.0,0.0,0.85
sheera,sweet,340,4.5,48.0,14.0,8.0,2.5
sheer_korma,sweet,220,5.5,30.0,8.0,4.0,1.8
shrikhand,sweet,200,6.5,28.0,7.0,0.0,0.35
sohan_halwa,sweet,420,3.5,55.0,20.0,5.0,0.4
sohan_papdi,sweet,480,6.0,58.0,24.0,0.0,1.0
sutar_feni,sweet,430,5.0,60.0,18.0,15.0,1.0
unni_appam,sweet,280,3.5,50.0,8.0,5.0,1.5
aloo_gobi,curry,110,2.5,14.0,5.0,6.0,0.85
aloo_matar,curry,120,3.0,16.0,5.5,8.0,0.9
aloo_methi,curry,105,2.5,13.0,5.0,7.0,0.85
aloo_shimla_mirch,curry,100,2.0,13.0,4.5,7.0,0.85
aloo_tikki,snack,180,3.0,22.0,8.0,12.0,0.9
bhindi_masala,curry,130,2.5,12.0,8.0,12.0,0.8
butter_chicken,curry,180,10.0,8.0,12.0,8.0,0.95
chana_masala,curry,140,5.5,18.0,5.0,8.0,0.9
chicken_razala,curry,160,12.0,6.0,10.0,10.0,0.9
chicken_tikka,starter,165,18.0,4.0,8.0,6.0,0.85
chicken_tikka_masala,curry,175,11.0,8.0,11.0,8.0,0.95
daal_puri,bread,320,8.0,40.0,14.0,20.0,1.0
dal_makhani,curry,160,6.5,16.0,8.0,10.0,0.85
dal_tadka,curry,120,5.5,15.0,4.5,7.0,0.9
dum_aloo,curry,140,3.0,15.0,7.0,10.0,0.9
kadai_paneer,curry,165,7.5,10.0,11.0,10.0,0.9
kadhi_pakoda,curry,130,4.5,12.0,7.0,15.0,0.95
karela_bharta,curry,115,2.5,10.0,7.0,14.0,0.8
kofta,curry,170,5.5,12.0,11.0,16.0,0.95
maach_jhol,curry,140,12.0,8.0,8.0,10.0,1.0
makki_di_roti_sarson_da_saag,combo,165,4.5,18.0,8.5,10.0,0.9
navrattan_korma,curry,155,4.5,12.0,11.0,15.0,0.95
palak_paneer,curry,140,7.0,8.0,9.0,8.0,0.9
paneer_butter_masala,curry,175,6.5,10.0,12.0,10.0,0.95
bhatura,bread,320,6.0,42.0,14.0,22.0,1.0
chapati,bread,240,7.5,48.0,2.5,2.0,1.0
misi_roti,bread,280,8.0,42.0,9.0,12.0,1.0
naan,bread,310,7.0,48.0,10.0,8.0,1.0
biryani,rice,180,6.5,22.0,7.5,8.0,2.2
boondi,snack,450,8.0,40.0,28.0,35.0,1.0
poornalu,sweet,320,5.0,52.0,12.0,8.0,1.0
kachori,snack,380,7.0,42.0,20.0,25.0,1.0
shankarpali,snack,420,5.0,58.0,18.0,15.0,1.0
lassi,beverage,95,3.5,14.0,3.0,0.0,1.0
poha,breakfast,160,3.5,22.0,6.5,12.0,1.5
ariselu,sweet,410,3.5,62.0,15.0,12.0,1.0
chak_hao_kheer,sweet,180,4.5,28.0,6.0,0.0,0.55
daal_baati_churma,combo,380,8.5,48.0,16.0,20.0,0.85
doodhpak,sweet,190,5.0,26.0,7.0,0.0,0.6
gavvalu,sweet,420,4.5,58.0,18.0,15.0,1.0
litti_chokha,combo,165,5.5,20.0,7.0,8.0,0.9
pithe,sweet,310,4.0,50.0,10.0,5.0,1.0
